Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12656148,Roman Gibi,Daniel Pennac,"Pennac, Daniel",Mustafa Kandemir,"=""""","=""""",4,Metis Yayınları,Paperback,136,1998,1992,,2024/09/07,,,read,,,,1,0
16038004,Ayna Merdiven,Ferhan Şensoy,"Şensoy, Ferhan",,"=""""","=""""",5,Ortaoyuncular Yayınları,Paperback,123,1986,1996,2024/10/10,2024/03/09,,,read,,,,1,0
18138123,Eve Dönmenin Yolları,Alejandro Zambra,"Zambra, Alejandro",Çiğdem Öztürk,"=""6055904683""","=""9786055904685""",4,Notos Kitap,Paperback,146,2013,2011,,2024/03/09,,,read,,,,1,0
17183408,Bonzai,Alejandro Zambra,"Zambra, Alejandro",Çiğdem Öztürk,"=""6055904543""","=""9786055904548""",3,Notos Kitap,Paperback,73,2012,2006,,2024/03/09,,,read,,,,1,0
25748797,Ağaçların Özel Hayatı,Alejandro Zambra,"Zambra, Alejandro",Çiğdem Öztürk,"=""6059851223""","=""9786059851220""",2,Notos Kitap,Paperback,91,2015,2007,2024/03/09,2024/03/05,,,read,,,,1,0
9465568,Gülünesi Aşklar,Milan Kundera,"Kundera, Milan",Serdar Rifat Kırkoğlu,"=""""","=""9789750702259""",4,Can Yayınları,Paperback,199,1994,1963,2024/03/09,2024/02/29,,,read,,,,1,0
17827080,Dul,Jean-Louis Fournier,"Fournier, Jean-Louis",Can Belge,"=""9750824768""","=""9789750824760""",0,Yapı Kredi Yayınları,Paperback,116,2013,2011,,2024/03/06,to-read,to-read (#6),to-read,,,,0,0
9397177,"Ankara, Mon Amour!",Şükran Yiğit,"Yiğit, Şükran",,"=""9750501152""","=""9789750501159""",3,İletişim Yayınları,Paperback,167,2012,2003,2024/03/05,2024/03/03,,,read,,,,1,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,Faber & Faber,Paperback,258,2005,1989,,2024/03/03,to-read,to-read (#5),to-read,,,,0,0
53639,Zorba the Greek,Nikos Kazantzakis,"Kazantzakis, Nikos",,"=""0571203132""","=""9780571203130""",2,Faber & Faber Ltd,Paperback,335,2001,1946,2024/03/01,2024/02/27,,,read,,,,1,0
